Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date,just_date
2007-09-06 00:00:00-04:00,8.416253141027875,8.497049094128643,8.251294656516826,8.42466926574707,5309200,0.0,0.0,2007-09-06 00:00:00-04:00,2007-09-06
2007-09-07 00:00:00-04:00,8.256343242051999,8.273176131640534,8.034154236355986,8.114950180053711,8721200,0.0,0.0,2007-09-07 00:00:00-04:00,2007-09-07
2007-09-10 00:00:00-04:00,8.157027308587278,8.300103908117686,7.987019383576536,8.215941429138184,6490800,0.0,0.0,2007-09-10 00:00:00-04:00,2007-09-10
2007-09-11 00:00:00-04:00,8.266443565206936,8.497048711084945,8.266443565206936,8.446551322937012,6751200,0.0,0.0,2007-09-11 00:00:00-04:00,2007-09-11
2007-09-12 00:00:00-04:00,8.444867759323293,8.498732368034819,8.357339295176248,8.475166320800781,4645200,0.0,0.0,2007-09-12 00:00:00-04:00,2007-09-12
2007-09-13 00:00:00-04:00,8.497047172731007,8.532395273824024,8.382586104526842,8.384269714355469,6732400,0.0,0.0,2007-09-13 00:00:00-04:00,2007-09-13
2007-09-14 00:00:00-04:00,8.360704487441684,8.75290214161486,8.315257291377746,8.729336738586426,15742800,0.0,0.0,2007-09-14 00:00:00-04:00,2007-09-14
2007-09-17 00:00:00-04:00,8.655273856817955,8.83033206482596,8.596360345521564,8.651907920837402,7458800,0.0,0.0,2007-09-17 00:00:00-04:00,2007-09-17
2007-09-18 00:00:00-04:00,8.744486691605298,8.808450391973517,8.611509744719225,8.788250923156738,10555200,0.0,0.0,2007-09-18 00:00:00-04:00,2007-09-18
2007-09-19 00:00:00-04:00,8.832015732135623,9.074403577179723,8.820233029800022,8.990241050720215,11312800,0.0,0.0,2007-09-19 00:00:00-04:00,2007-09-19
2007-09-20 00:00:00-04:00,8.980137522925713,9.210743210329067,8.938056277472247,9.172028541564941,11533600,0.0,0.0,2007-09-20 00:00:00-04:00,2007-09-20
2007-09-21 00:00:00-04:00,9.276392035459924,9.421151656653931,9.209061770031877,9.305006980895996,14216800,0.0,0.0,2007-09-21 00:00:00-04:00,2007-09-21
2007-09-24 00:00:00-04:00,9.56591099183026,9.56591099183026,9.31342346718787,9.454815864562988,15665200,0.0,0.0,2007-09-24 00:00:00-04:00,2007-09-24
